,Название,Год,Топливо,Объем двигателя,Мощность,Коробка передач,Привод,Цвет,Пробег,Руль,Оценка Drom,Цена
32,Volkswagen Tiguan,2012,бензин,2.0,170.0,автомат,4WD,синий,135671.0,левый,8.602,1149000
33,Skoda Rapid,2016,бензин,1.4,125.0,робот,передний,синий,129206.0,левый,8.602,949000
34,Jeep Grand Cherokee,2013,дизель,3.0,243.0,автомат,4WD,белый,132657.0,левый,8.9,2049000
35,Hyundai Creta,2017,бензин,1.6,121.0,автомат,4WD,черный,117342.0,левый,8.602,1299000
36,Volvo S80,2012,бензин,2.5,249.0,автомат,передний,черный,145132.0,левый,8.602,949000
37,Land Rover Discovery,2012,дизель,3.0,245.0,автомат,4WD,черный,146000.0,левый,8.9,1429000
38,Honda Stepwgn,2015,бензин,1.5,150.0,вариатор,передний,белый,92000.0,правый,8.8,1897000
39,Land Rover Range Rover Sport,2018,бензин,2.0,300.0,автомат,4WD,серый,25125.0,левый,8.602,6300000
40,Toyota Roomy,2018,бензин,1.0,69.0,вариатор,передний,серебристый,74000.0,правый,8.6,1150000
41,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,4WD,черный,22644.0,левый,8.6,4850000
42,Mercedes-Benz GLS-Class,2021,бензин,4.0,612.0,автомат,4WD,серебристый,31000.0,левый,8.602,20500000
43,Chevrolet Niva,2005,бензин,1.7,80.0,механика,4WD,серый,289000.0,левый,7.5,270000
44,Mercedes-Benz A-Class,2014,бензин,1.6,122.0,робот,передний,голубой,120208.0,левый,8.6,1249000
45,Volkswagen Multivan,2013,дизель,2.0,180.0,робот,передний,серебристый,162134.0,левый,8.8,2149000
46,BMW X4,2016,дизель,2.0,190.0,автомат,4WD,черный,90186.0,левый,8.602,2299000
47,Mazda CX-9,2013,бензин,3.7,277.0,автомат,4WD,синий,139258.0,левый,8.602,1399000
48,Hyundai Grand Starex,2012,дизель,2.5,145.0,автомат,задний,черный,135898.0,левый,8.6,1899000
49,Volkswagen Multivan,2011,дизель,2.0,140.0,робот,передний,черный,127548.0,левый,8.8,1849000
50,Mercedes-Benz Viano,2008,бензин,3.5,258.0,автомат,задний,черный,140455.0,левый,8.8,1099000
51,Jeep Grand Cherokee,2022,бензин,3.6,290.0,автомат,4WD,зеленый,0.0,левый,8.9,10850000
52,Mercedes-Benz E-Class,2006,бензин,1.8,184.0,автомат,задний,черный,350000.0,левый,8.9,690000
53,Audi A4,2004,дизель,1.9,130.0,механика,передний,черный,375000.0,левый,8.8,560000
54,Audi Q7,2020,дизель,3.0,249.0,автомат,4WD,серый,20000.0,левый,8.602,8090000
55,Toyota Camry,2012,бензин,3.5,277.0,автомат,передний,черный,141569.0,левый,8.8,1760000
56,Honda Accord,2017,бензин,2.4,185.0,вариатор,передний,белый,36000.0,левый,8.602,1650000
57,Hyundai Santa Fe,2013,дизель,2.2,197.0,автомат,4WD,синий,157039.0,левый,8.7,1499000
58,Audi A6,2014,бензин,2.0,180.0,вариатор,передний,черный,129795.0,левый,8.9,1449000
59,Jeep Grand Cherokee,2013,дизель,3.0,243.0,автомат,4WD,синий,147552.0,левый,8.9,2199000
60,Opel Astra,2013,бензин,1.4,140.0,автомат,передний,черный,115239.0,левый,8.6,749000
61,BMW X6,2012,бензин,3.0,306.0,автомат,4WD,черный,133299.0,левый,8.602,1649000
62,Skoda Kodiaq,2021,бензин,1.4,150.0,робот,4WD,коричневый,78214.0,левый,8.602,2349000
63,Audi A7,2012,бензин,3.0,310.0,робот,4WD,серый,128096.0,левый,8.602,1749000
64,Peugeot RCZ,2013,бензин,1.6,156.0,механика,передний,серебристый,57800.0,левый,8.5,1600000
65,Audi A3,2012,бензин,1.2,105.0,робот,передний,черный,144000.0,левый,8.602,830000
66,BMW 5-Series,2019,бензин,2.0,184.0,автомат,4WD,черный,47500.0,левый,8.9,3990000
67,Volkswagen Passat,2019,дизель,2.0,190.0,робот,передний,белый,137000.0,левый,8.6,2470000
68,Kia Sorento,2020,дизель,2.2,202.0,робот,4WD,черный,39000.0,левый,8.6,4200000
69,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,13025.0,левый,8.6,3600000
70,BMW 6-Series Gran Turismo,2019,дизель,2.0,190.0,автомат,задний,фиолетовый,32000.0,левый,8.6,4560000
71,Mercedes-Benz S-Class,2018,бензин,4.0,469.0,автомат,4WD,черный,124000.0,левый,8.602,7892000
72,Toyota Voxy,2019,бензин,1.8,99.0,вариатор,передний,белый,37000.0,правый,8.9,2400000
73,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,черный,75165.0,левый,8.6,3850000
74,Hyundai Grand Starex,2020,дизель,2.5,175.0,автомат,задний,белый,17042.0,левый,8.6,3900000
75,Kia Carnival,2021,дизель,2.2,199.0,автомат,передний,белый,24076.0,левый,8.6,4650000
76,Mercedes-Benz GLE Coupe,2022,дизель,2.0,272.0,автомат,4WD,белый,0.0,левый,8.602,10100000
77,BMW X4,2019,бензин,3.0,480.0,автомат,4WD,белый,33000.0,левый,8.602,6600000
78,BMW 5-Series,2014,бензин,2.0,184.0,автомат,задний,белый,215000.0,левый,8.9,1700000
79,Hyundai Staria,2023,дизель,2.2,177.0,автомат,4WD,белый,0.0,левый,8.602,6600000
80,Volkswagen Tiguan,2017,бензин,1.4,150.0,робот,передний,белый,155000.0,левый,8.602,1870000
81,Kia Mohave,2022,дизель,3.0,249.0,автомат,4WD,черный,0.0,левый,8.8,5650000
82,Audi Q7,2019,бензин,3.0,333.0,автомат,4WD,черный,60000.0,левый,8.602,4550000
83,Rivian R1T,2022,электро,0.0,760.0,автомат,4WD,зеленый,0.0,левый,8.602,15990000
84,Mercedes-Benz GLS-Class,2022,бензин,3.0,362.0,автомат,4WD,синий,4000.0,левый,8.602,12600000
85,Toyota Land Cruiser Prado,2020,бензин,4.0,249.0,автомат,4WD,черный,18000.0,левый,8.602,6800000
86,Audi TT,2018,бензин,2.0,245.0,робот,4WD,серый,42000.0,левый,8.602,4200000
87,Renault Samsung QM6,2018,дизель,2.0,177.0,автомат,4WD,белый,63925.0,левый,8.602,2599999
88,Toyota Aqua,2018,бензин,1.5,74.0,вариатор,передний,черный,39990.0,правый,8.602,1180000
89,Hyundai Palisade,2022,дизель,2.2,202.0,автомат,передний,черный,12000.0,левый,8.602,5500000
90,Hyundai Grand Starex,2020,дизель,2.5,175.0,автомат,4WD,белый,13825.0,левый,8.6,4550000
91,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,4WD,черный,42213.0,левый,8.6,3990000
92,Mitsubishi L200,2022,дизель,2.4,154.0,механика,4WD,черный,0.0,левый,8.4,3480000
93,Mercedes-Benz S-Class,2022,бензин,4.0,503.0,автомат,4WD,черный,18000.0,левый,8.602,16890000
94,Tesla Model X,2022,электро,0.0,670.0,автомат,4WD,белый,0.0,левый,8.4,11450000
95,Lexus LX450d,2016,дизель,4.5,272.0,автомат,4WD,черный,55000.0,левый,8.602,7500000
96,BMW X7,2019,дизель,3.0,400.0,автомат,4WD,синий,88500.0,левый,8.602,7940000
97,Mercedes-Benz GLE Coupe,2022,дизель,2.9,330.0,автомат,4WD,белый,1.0,левый,8.602,10500000
98,Kia Carnival,2020,дизель,2.2,199.0,автомат,передний,белый,20994.0,левый,8.6,4500000
99,Kia Carnival,2020,дизель,2.2,199.0,автомат,передний,черный,20716.0,левый,8.6,4520000
100,Kia Carnival,2020,дизель,2.2,199.0,автомат,передний,черный,25824.0,левый,8.6,4390000
101,Hyundai Palisade,2019,дизель,2.2,202.0,автомат,4WD,белый,10561.0,левый,8.602,4450000
102,Hyundai Staria,2023,дизель,2.2,177.0,автомат,4WD,черный,0.0,левый,8.602,6600000
103,Kia Carnival,2020,дизель,2.2,199.0,автомат,передний,белый,25382.0,левый,8.6,4450000
104,Toyota Vellfire,2018,бензин,3.5,301.0,автомат,передний,черный,995.0,правый,8.602,5650000
105,Ford Escape,2020,бензин,1.5,181.0,автомат,передний,бордовый,11600.0,левый,8.3,2150000
106,Bentley Continental GT,2014,бензин,6.0,575.0,автомат,4WD,синий,52200.0,левый,8.602,5300000
107,Kia Carnival,2019,дизель,2.2,202.0,автомат,передний,белый,59000.0,левый,8.6,3530000
108,Mercedes-Benz GL-Class,2015,бензин,3.0,333.0,автомат,4WD,черный,110000.0,левый,8.602,3100000
109,Kia Optima,2018,бензин,2.0,150.0,автомат,передний,белый,150000.0,левый,8.602,1830000
110,Subaru Outback,2016,бензин,2.5,175.0,вариатор,4WD,серый,123986.0,левый,8.9,1800000
111,Hyundai Grand Starex,2019,дизель,2.5,175.0,автомат,задний,серый,16100.0,левый,8.6,3290000
112,BMW X6,2020,бензин,4.4,625.0,автомат,4WD,синий,56000.0,левый,8.602,12000000
113,Mercedes-Benz CL-Class,2010,бензин,4.7,435.0,автомат,задний,черный,165000.0,левый,8.602,2000000
114,Mercedes-Benz S-Class,2022,бензин,3.0,435.0,автомат,4WD,белый,50.0,левый,8.602,17190000
115,Toyota Camry,2022,бензин,2.5,176.0,автомат,передний,серебристый,40.0,левый,8.8,4050000
116,Porsche Macan,2014,бензин,3.0,340.0,робот,4WD,белый,89000.0,левый,8.602,3149000
117,BMW 3-Series,2019,бензин,2.0,184.0,автомат,задний,белый,64000.0,левый,8.8,3190000
118,Mercedes-Benz S-Class,2017,бензин,3.0,367.0,автомат,задний,белый,35600.0,левый,8.602,5990000
119,Lexus RX300,2020,бензин,2.0,238.0,автомат,4WD,серый,36220.0,левый,8.9,6100000
120,Лада Веста,2022,бензин,1.6,113.0,вариатор,передний,белый,691.0,левый,8.7,1750000
121,Renault Sandero,2010,бензин,1.6,105.0,автомат,передний,красный,163084.0,левый,8.2,468000
122,Dodge Charger,2021,бензин,3.6,296.0,автомат,задний,черный,12500.0,левый,8.4,2820000
123,Volkswagen Passat,2020,бензин,2.0,190.0,робот,передний,черный,31000.0,левый,8.6,2550000
124,Mazda Familia,2000,бензин,1.3,85.0,автомат,передний,белый,260000.0,правый,7.8,185000
125,Mazda Mazda6,2008,бензин,1.8,120.0,механика,передний,черный,172000.0,левый,8.9,500000
126,SsangYong Actyon,2014,бензин,2.0,149.0,автомат,4WD,красный,107271.0,левый,8.5,1345000
127,BMW X6,2010,дизель,3.0,306.0,автомат,4WD,бордовый,190000.0,левый,8.602,1600000
128,Volkswagen Polo,2022,бензин,1.6,110.0,автомат,передний,черный,8000.0,левый,8.6,1950000
129,Kia Sportage,2022,бензин,2.5,190.0,автомат,4WD,белый,0.0,левый,8.7,3759294
130,Hyundai Solaris,2014,бензин,1.4,123.0,автомат,передний,серебристый,48950.0,левый,8.8,983000
131,Skoda Superb,2016,бензин,2.0,280.0,робот,4WD,белый,158000.0,левый,8.602,2293000
132,Audi A4 allroad quattro,2016,бензин,2.0,249.0,робот,4WD,коричневый,82900.0,левый,8.9,2600000
133,Toyota Prius,2016,бензин,1.8,98.0,вариатор,передний,белый,178000.0,правый,8.8,1350000
134,Лада 2105,1997,бензин,1.5,71.0,механика,задний,зеленый,27000.0,левый,8.602,68000
135,Honda N-WGN,2016,бензин,0.7,64.0,вариатор,передний,фиолетовый,94000.0,правый,8.602,950000
136,BMW X5,2019,дизель,3.0,400.0,автомат,4WD,черный,71000.0,левый,8.602,7599000
137,Lexus NX200,2015,бензин,2.0,150.0,вариатор,4WD,черный,137000.0,левый,8.602,2200000
138,Fiat Linea,2008,бензин,1.4,120.0,механика,передний,бордовый,60000.0,левый,8.7,570000
139,Лада Нива Тревел,2023,бензин,1.7,80.0,механика,4WD,белый,0.0,левый,8.602,1277000
140,Volkswagen Tiguan,2019,дизель,2.0,150.0,робот,4WD,серебристый,150000.0,левый,8.602,2400000
141,Kia Sorento,2012,бензин,2.4,199.0,автомат,передний,черный,205349.0,левый,8.6,1378000
142,Лада 2110,1999,бензин,1.5,70.0,механика,передний,голубой,29131.0,левый,7.6,500000
143,Toyota Voxy,2016,бензин,1.8,99.0,вариатор,передний,белый,110000.0,правый,8.9,1630000
144,BMW 5-Series,2008,дизель,2.0,177.0,автомат,задний,серебристый,215000.0,левый,8.9,870000
145,Honda Mobilio Spike,2003,бензин,1.5,110.0,вариатор,4WD,серебристый,171000.0,правый,8.5,350000
146,Skoda Octavia,2017,бензин,1.8,180.0,робот,передний,бежевый,121000.0,левый,8.8,1650000
147,Toyota Camry,2014,бензин,2.5,181.0,автомат,передний,черный,234094.0,левый,8.8,1448000
148,Honda Freed Spike,2012,бензин,1.5,88.0,вариатор,передний,белый,57894.0,правый,8.602,1124000
149,Peugeot 4007,2008,бензин,2.4,170.0,вариатор,4WD,голубой,152373.0,левый,8.7,899900
150,Peugeot 308,2012,бензин,1.6,120.0,автомат,передний,белый,180639.0,левый,8.4,654900
151,BMW X3,2020,дизель,3.0,249.0,автомат,4WD,черный,55500.0,левый,8.602,5100000
152,Suzuki Jimny Wide,1998,бензин,1.3,85.0,автомат,4WD,серый,130000.0,правый,7.8,349000
153,Volkswagen Caddy,2007,бензин,1.6,102.0,механика,передний,серебристый,345000.0,левый,8.4,330000
154,Volkswagen Multivan,2013,дизель,2.0,140.0,робот,передний,черный,198000.0,левый,8.8,2100000
155,Volvo XC60,2011,бензин,2.0,203.0,робот,передний,коричневый,198700.0,левый,8.602,960000
156,Honda Vezel,2015,бензин,1.5,132.0,робот,передний,синий,89000.0,правый,8.602,1670000
157,Лада Гранта,2012,бензин,1.6,82.0,механика,передний,серебристый,260000.0,левый,8.1,215000
158,Land Rover Range Rover Sport,2014,дизель,3.0,249.0,автомат,4WD,белый,173000.0,левый,8.602,2650000
159,Renault Megane,2013,бензин,2.0,250.0,механика,передний,черный,160000.0,левый,8.3,1200000
160,Kia Ceed,2008,бензин,2.0,143.0,автомат,передний,голубой,224564.0,левый,8.8,570000
161,Лада 2101,1986,бензин,1.3,64.0,механика,задний,бежевый,100000.0,левый,7.5,60000
162,Audi RS Q8,2022,бензин,4.0,600.0,автомат,4WD,серебристый,0.0,левый,8.602,24000000
163,Audi Q5 Sportback,2022,дизель,2.0,204.0,автомат,4WD,белый,0.0,левый,8.602,8012640
164,Volvo XC90,2022,бензин,2.0,249.0,автомат,4WD,черный,0.0,левый,8.9,10000000
165,Nissan Primera,1998,бензин,1.6,99.0,механика,передний,синий,200000.0,левый,8.2,100000
166,BMW 5-Series,2019,дизель,2.0,190.0,автомат,4WD,белый,47350.0,левый,8.9,4690000
167,Лада Ларгус,2019,бензин,1.6,106.0,механика,передний,белый,85826.0,левый,8.3,798000
168,Hyundai Santa Fe,2022,бензин,2.5,180.0,автомат,4WD,черный,3500.0,левый,8.7,4400000
169,Toyota Probox,2017,бензин,1.5,109.0,вариатор,передний,серебристый,138000.0,правый,8.0,949000
170,Лада Нива Легенд,2023,бензин,1.7,83.0,механика,4WD,белый,0.0,левый,8.602,920330
171,Лада Гранта,2023,бензин,1.6,90.0,механика,передний,белый,0.0,левый,8.1,838900
172,Volkswagen Polo,2019,бензин,1.6,110.0,автомат,передний,белый,74205.1098265896,левый,8.6,1100000
173,Land Rover Range Rover Sport,2006,бензин,4.4,299.0,автомат,4WD,серебристый,275000.0,левый,8.602,1000000
174,Dodge Challenger,2020,бензин,3.6,305.0,автомат,задний,черный,22000.0,левый,8.8,3200000
175,Toyota Land Cruiser,2007,дизель,4.5,235.0,автомат,4WD,белый,232020.3,левый,8.602,2200000
176,Mercedes-Benz S-Class,2015,бензин,3.0,333.0,автомат,4WD,белый,137364.60975609755,левый,8.602,2400000
177,Volkswagen Tiguan,2012,бензин,2.0,170.0,механика,4WD,белый,182000.0,левый,8.602,930000
178,Hyundai Getz,2008,бензин,1.4,97.0,автомат,передний,красный,191433.575,левый,8.3,425000
179,Mercedes-Benz GLE Coupe,2015,бензин,3.0,333.0,автомат,4WD,красный,0.0,левый,8.602,3400000
180,Audi A7,2010,бензин,3.0,300.0,робот,4WD,белый,147000.0,левый,8.602,1299000
181,Kia Optima,2018,бензин,2.0,150.0,автомат,передний,белый,116201.0,левый,8.602,1895000
182,Nissan Qashqai,2019,бензин,2.0,144.0,вариатор,передний,белый,112370.0,левый,8.6,1770000
183,Nissan Qashqai,2019,бензин,2.0,144.0,вариатор,передний,белый,95959.0,левый,8.6,1770000
184,Hyundai Palisade,2019,дизель,2.2,202.0,автомат,4WD,белый,90000.0,левый,8.602,4050000
185,Lexus RX350,2023,бензин,2.4,275.0,автомат,4WD,серебристый,144.0,левый,8.602,9300000
186,BMW X5,2017,дизель,3.0,313.0,автомат,4WD,черный,108577.0,левый,8.602,4795000
187,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,черный,0.0,левый,8.602,3394980
188,Haval F7,2023,бензин,2.0,190.0,робот,4WD,белый,0.0,левый,8.602,3229000
189,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,белый,0.0,левый,8.602,3149000
190,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,белый,0.0,левый,8.602,3279000
191,Haval F7x,2023,бензин,2.0,190.0,робот,4WD,белый,0.0,левый,8.602,2879000
192,Audi 80,1993,бензин,2.0,115.0,механика,передний,синий,500000.0,левый,7.9,75000
193,УАЗ Буханка,2023,бензин,2.7,112.0,механика,передний,белый,0.0,левый,8.602,1333000
194,Volkswagen Atlas,2020,бензин,2.0,235.0,автомат,4WD,черный,26470.0,левый,8.602,4200000
195,Hyundai Elantra,2021,бензин,2.0,150.0,автомат,передний,серый,19131.0,левый,8.6,2548000
196,Volkswagen Passat,2018,бензин,1.4,150.0,робот,передний,черный,18544.0,левый,8.6,2674000
197,Hyundai Elantra,2021,бензин,2.0,150.0,автомат,передний,серый,18610.0,левый,8.6,2394000
198,Skoda Rapid,2018,бензин,1.6,110.0,автомат,передний,синий,82574.0,левый,8.602,1498000
199,Renault Duster,2019,бензин,1.6,114.0,механика,передний,белый,48827.0,левый,8.3,1447000
200,Renault Logan,2018,бензин,1.6,102.0,автомат,передний,черный,97891.0,левый,8.0,1097000
201,Renault Duster,2020,бензин,1.6,114.0,механика,передний,белый,74184.0,левый,8.3,1497000
202,Volkswagen Jetta,2018,бензин,1.6,110.0,автомат,передний,белый,68103.0,левый,8.8,1558000
203,Volkswagen Polo,2018,бензин,1.6,110.0,автомат,передний,белый,53184.0,левый,8.6,1358000
204,Volkswagen Polo,2017,бензин,1.6,110.0,автомат,передний,белый,105387.0,левый,8.6,1238000
205,Hyundai Solaris,2016,бензин,1.6,123.0,автомат,передний,бежевый,33502.0,левый,8.8,1267000
206,Land Rover Discovery,2010,дизель,3.0,245.0,автомат,4WD,черный,173560.0,левый,8.9,1897000
207,УАЗ Патриот,2021,бензин,2.7,150.0,автомат,4WD,черный,10912.0,левый,8.1,2000000
208,Geely Coolray SX11,2021,бензин,1.5,150.0,робот,передний,серый,19000.0,левый,8.602,2247000
209,Hyundai Santa Fe,2021,дизель,2.2,199.0,робот,4WD,черный,32100.0,левый,8.7,4197000
210,Kia K5,2021,бензин,2.5,194.0,автомат,передний,черный,58500.0,левый,8.602,2517000
211,Hyundai Creta,2017,бензин,2.0,149.0,автомат,4WD,черный,112050.0,левый,8.602,1637000
212,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,черный,0.0,левый,8.602,2889900
213,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,красный,0.0,левый,8.602,2889900
214,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,белый,0.0,левый,8.602,3039900
215,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,белый,0.0,левый,8.602,2889900
216,Chery Tiggo 7 Pro Max,2023,бензин,1.5,147.0,вариатор,передний,серый,0.0,левый,8.602,3039900
217,Chery Tiggo 8 Pro Max,2023,бензин,2.0,197.0,робот,4WD,синий,0.0,левый,8.602,3970900
218,Chery Tiggo 4 Pro,2023,бензин,1.5,147.0,вариатор,передний,красный,0.0,левый,8.602,2449900
219,Chery Tiggo 4 Pro,2023,бензин,1.5,147.0,вариатор,передний,серый,0.0,левый,8.602,2389900
220,Kia Carnival,2022,дизель,2.2,199.0,автомат,передний,белый,0.0,левый,8.6,7035000
221,Kia Carnival,2022,бензин,3.5,249.0,автомат,передний,белый,0.0,левый,8.6,6885000
222,Kia Sportage,2022,бензин,2.0,150.0,автомат,4WD,белый,0.0,левый,8.7,4216000
223,Kia Sportage,2022,бензин,2.0,150.0,автомат,4WD,белый,0.0,левый,8.7,4030000
224,Kia Sportage,2022,бензин,2.5,190.0,автомат,4WD,белый,0.0,левый,8.7,3866000
225,Mercedes-Benz E-Class,2021,дизель,2.0,194.0,автомат,4WD,черный,110000.0,левый,8.9,5499000
226,Hyundai Solaris,2017,бензин,1.6,123.0,автомат,передний,белый,142515.0,левый,8.8,1066000
227,Land Rover Freelander,2013,бензин,2.0,240.0,автомат,4WD,черный,144588.0,левый,8.7,1570000
228,Mazda Mazda6,2022,бензин,2.0,150.0,автомат,передний,белый,0.0,левый,8.9,3654000
229,Mazda CX-5,2022,бензин,2.0,150.0,автомат,4WD,белый,0.0,левый,8.602,3884000
230,Mazda CX-5,2022,бензин,2.0,150.0,автомат,4WD,коричневый,0.0,левый,8.602,3867000
231,Mazda CX-5,2022,бензин,2.0,150.0,автомат,4WD,белый,0.0,левый,8.602,3867000
232,Mazda CX-5,2022,бензин,2.0,150.0,автомат,4WD,черный,0.0,левый,8.602,3867000
233,Mercedes-Benz GLS-Class,2017,дизель,3.0,249.0,автомат,4WD,белый,116000.0,левый,8.602,5750000
234,Mazda Mazda6,2022,бензин,2.5,194.0,автомат,передний,белый,0.0,левый,8.9,4473000
235,EXEED LX,2023,бензин,1.5,147.0,вариатор,передний,белый,0.0,левый,8.602,3094000
236,Geely Atlas Pro,2023,бензин,1.5,177.0,робот,4WD,белый,0.0,левый,8.602,3673000
237,Hyundai Solaris,2019,бензин,1.6,123.0,автомат,передний,белый,82930.0,левый,8.8,1453000
238,Toyota Camry,2019,бензин,2.5,181.0,автомат,передний,черный,94806.0,левый,8.8,3098000
239,Opel Corsa,2010,бензин,1.4,100.0,автомат,передний,красный,150536.0,левый,8.4,650000
240,Skoda Octavia,2018,бензин,1.4,150.0,робот,передний,коричневый,72989.0,левый,8.8,1895000
241,Ford Kuga,2018,бензин,2.5,150.0,автомат,передний,серый,70970.0,левый,8.602,1774000
242,Toyota Camry,2020,бензин,2.5,181.0,автомат,передний,белый,32415.0,левый,8.8,3175000
243,Kia Rio,2021,бензин,1.6,123.0,автомат,передний,белый,25938.0,левый,8.7,1875000
244,Volkswagen Polo,2019,бензин,1.6,110.0,автомат,передний,белый,58850.0,левый,8.6,1399000
245,Mercedes-Benz GL-Class,2010,дизель,3.0,224.0,автомат,4WD,серый,178284.0,левый,8.602,1998000
246,Mitsubishi Outlander,2019,бензин,2.0,146.0,вариатор,4WD,черный,40325.0,левый,8.8,2499000
247,Skoda Rapid,2021,бензин,1.4,125.0,робот,передний,красный,27231.0,левый,8.602,1687000
248,Kia Sorento,2021,дизель,2.2,202.0,робот,4WD,черный,38048.0,левый,8.6,4197000
249,Hyundai Solaris,2015,бензин,1.6,123.0,автомат,передний,черный,174369.0,левый,8.8,900000
250,Kia ProCeed,2014,бензин,1.6,129.0,автомат,передний,черный,88401.0,левый,8.9,1178000
251,Toyota Camry,2018,бензин,2.5,181.0,автомат,передний,синий,55155.0,левый,8.8,2765000
252,Porsche Cayenne,2019,бензин,3.0,340.0,автомат,4WD,белый,84491.0,левый,8.602,7334000
253,Mazda CX-5,2015,бензин,2.5,192.0,автомат,4WD,коричневый,131487.0,левый,8.602,1999000
254,Hyundai Creta,2021,бензин,1.6,123.0,автомат,передний,белый,78000.0,левый,8.602,1799000
255,УАЗ Патриот,2022,бензин,2.7,150.0,механика,4WD,белый,0.0,левый,8.1,1596000
256,Kia Soul,2019,бензин,1.6,123.0,автомат,передний,красный,62362.0,левый,8.8,1839000
257,Renault Logan,2012,бензин,1.6,84.0,механика,передний,синий,280918.0,левый,8.0,375000
258,EXEED LX,2023,бензин,1.6,150.0,робот,4WD,белый,0.0,левый,8.602,3790000
259,EXEED LX,2023,бензин,1.5,147.0,вариатор,передний,белый,0.0,левый,8.602,3399900
260,Nissan X-Trail,2007,бензин,2.0,141.0,вариатор,4WD,черный,286721.0,левый,8.5,730000
